negative_keyword,match_type,status
оренда вивіски,phrase,active-research-negative
оренда неонової вивіски,phrase,active-research-negative
прокат вивіски,phrase,active-research-negative
прокат неонової вивіски,phrase,active-research-negative
аренда вывески,phrase,active-research-negative
аренда неоновой вывески,phrase,active-research-negative
прокат вывески,phrase,active-research-negative
прокат неоновой вывески,phrase,active-research-negative
скляний неон,phrase,active-research-negative
неон зі скла,phrase,active-research-negative
скляна неонова трубка,phrase,active-research-negative
газорозрядний неон,phrase,active-research-negative
газовий неон,phrase,active-research-negative
ремонт скляного неону,phrase,active-research-negative
заправка неону газом,phrase,active-research-negative
стеклянный неон,phrase,active-research-negative
неон из стекла,phrase,active-research-negative
стеклянная неоновая трубка,phrase,active-research-negative
газоразрядный неон,phrase,active-research-negative
газовый неон,phrase,active-research-negative
ремонт стеклянного неона,phrase,active-research-negative
заправка неона газом,phrase,active-research-negative
безкоштовно,phrase,active-research-negative
бесплатно,phrase,active-research-negative
скачати,phrase,active-research-negative
скачать,phrase,active-research-negative
завантажити,phrase,active-research-negative
шаблон,phrase,active-research-negative
template,phrase,active-research-negative
макет безкоштовно,phrase,active-research-negative
макет бесплатно,phrase,active-research-negative
своїми руками,phrase,active-research-negative
своими руками,phrase,active-research-negative
як зробити,phrase,active-research-negative
как сделать,phrase,active-research-negative
інструкція,phrase,active-research-negative
инструкция,phrase,active-research-negative
урок,phrase,active-research-negative
навчання,phrase,active-research-negative
обучение,phrase,active-research-negative
курс,phrase,active-research-negative
вакансія,phrase,active-research-negative
вакансії,phrase,active-research-negative
вакансия,phrase,active-research-negative
вакансии,phrase,active-research-negative
робота монтажником,phrase,active-research-negative
работа монтажником,phrase,active-research-negative
обладнання для виготовлення вивісок,phrase,active-research-negative
оборудование для изготовления вывесок,phrase,active-research-negative
верстат для виготовлення вивісок,phrase,active-research-negative
станок для изготовления вывесок,phrase,active-research-negative
матеріали для вивісок,phrase,active-research-negative
материалы для вывесок,phrase,active-research-negative
комплектуючі для вивісок,phrase,active-research-negative
комплектующие для вывесок,phrase,active-research-negative
дорожні знаки,phrase,active-research-negative
дорожные знаки,phrase,active-research-negative
правила дорожнього руху,phrase,active-research-negative
правила дорожного движения,phrase,active-research-negative
знак дорожнього руху,phrase,active-research-negative
дорожный знак,phrase,active-research-negative
