negative_keyword,match_type,status,scope
безкоштовно,phrase,candidate-review-required,campaign
бесплатно,phrase,candidate-review-required,campaign
скачати,phrase,candidate-review-required,campaign
скачать,phrase,candidate-review-required,campaign
завантажити,phrase,candidate-review-required,campaign
шаблон,phrase,candidate-review-required,campaign
template,phrase,candidate-review-required,campaign
своїми руками,phrase,candidate-review-required,campaign
своими руками,phrase,candidate-review-required,campaign
як зробити,phrase,candidate-review-required,campaign
как сделать,phrase,candidate-review-required,campaign
принтер для ручок,phrase,candidate-review-required,campaign
принтер для друку на ручках,phrase,candidate-review-required,campaign
станок для печати на ручках,phrase,candidate-review-required,campaign
обладнання для друку на ручках,phrase,candidate-review-required,campaign
оборудование для печати на ручках,phrase,candidate-review-required,campaign
ремонт ручок,phrase,candidate-review-required,campaign
ремонт ручки,phrase,candidate-review-required,campaign
стержень для ручки,phrase,candidate-review-required,campaign
чернила для ручки,phrase,candidate-review-required,campaign
чорнило для ручки,phrase,candidate-review-required,campaign
дверні ручки,phrase,candidate-review-required,campaign
дверные ручки,phrase,candidate-review-required,campaign
меблеві ручки,phrase,candidate-review-required,campaign
мебельные ручки,phrase,candidate-review-required,campaign
малюнок олівцем,phrase,candidate-review-required,campaign
рисунок карандашом,phrase,candidate-review-required,campaign
уроки малювання,phrase,candidate-review-required,campaign
уроки рисования,phrase,candidate-review-required,campaign
розмальовка,phrase,candidate-review-required,campaign
раскраска,phrase,candidate-review-required,campaign
вакансія,phrase,candidate-review-required,campaign
вакансії,phrase,candidate-review-required,campaign
вакансия,phrase,candidate-review-required,campaign
вакансии,phrase,candidate-review-required,campaign
