keyword,language,proposed_ad_group,match_type,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,bid_low_uah,bid_high_uah,preliminary_decision,review_notes,final_status
друк на ручках,uk,AG-01-PENS-GENERIC,phrase,500.0,0%,900%,High,100,24.63,49.86,candidate-priority,Comparatively stronger historical demand,approved-launch-set
ручки з логотипом,uk,AG-01-PENS-GENERIC,phrase,500.0,0%,0%,High,100,23.20,62.37,candidate-priority,Comparatively stronger historical demand,approved-launch-set
брендовані ручки,uk,AG-01-PENS-GENERIC,phrase,50.0,0%,0%,High,100,10.69,64.65,candidate-test,Low-volume commercial phrase for controlled testing,approved-launch-set
печать на ручках,ru,AG-01-PENS-GENERIC,phrase,50.0,0%,0%,High,89,13.30,59.94,candidate-test,Low-volume commercial phrase for controlled testing,approved-launch-set
ручки на замовлення,uk,AG-01-PENS-GENERIC,phrase,50.0,0%,0%,High,100,11.22,34.01,candidate-test,Low-volume commercial phrase for controlled testing,approved-launch-set
ручки с логотипом,ru,AG-01-PENS-GENERIC,phrase,50.0,0%,0%,High,69,27.20,89.46,candidate-test,Low-volume commercial phrase for controlled testing,approved-launch-set
металлические ручки с логотипом,ru,AG-02-PENS-METAL,phrase,50.0,0%,∞,Low,0,,,candidate-test,Low-volume commercial phrase for controlled testing,approved-launch-set
пластиковые ручки с логотипом,ru,AG-03-PENS-PLASTIC,phrase,50.0,0%,0%,Low,0,,,candidate-test,Low-volume commercial phrase for controlled testing,approved-launch-set
печать на эко ручках,ru,AG-04-PENS-ECO,phrase,50.0,-100%,0%,,,,,candidate-test,Low-volume commercial phrase for controlled testing,approved-launch-set
эко ручки с логотипом,ru,AG-04-PENS-ECO,phrase,50.0,0%,0%,Medium,41,,,candidate-test,Low-volume commercial phrase for controlled testing,approved-launch-set
брендированные карандаши,ru,AG-05-PENCILS,phrase,50.0,0%,0%,Low,0,,,candidate-test,Low-volume commercial phrase for controlled testing,approved-launch-set
брендовані олівці,uk,AG-05-PENCILS,phrase,50.0,0%,0%,High,94,8.59,33.37,candidate-test,Low-volume commercial phrase for controlled testing,approved-launch-set
друк на олівцях,uk,AG-05-PENCILS,phrase,50.0,0%,0%,High,100,11.76,36.03,candidate-test,Low-volume commercial phrase for controlled testing,approved-launch-set
карандаши с логотипом,ru,AG-05-PENCILS,phrase,50.0,0%,0%,Low,11,,,candidate-test,Low-volume commercial phrase for controlled testing,approved-launch-set
олівці з логотипом,uk,AG-05-PENCILS,phrase,50.0,0%,∞,High,90,18.31,59.86,candidate-test,Low-volume commercial phrase for controlled testing,approved-launch-set
печать на карандашах,ru,AG-05-PENCILS,phrase,50.0,0%,0%,Low,15,,,candidate-test,Low-volume commercial phrase for controlled testing,approved-launch-set
