research_plan,proposed_ad_group,url,http_status,title,h1,has_form,has_price,candidate_type,classification_status,review_notes
08-notebooks-planners,AG-01-NOTEBOOKS-BRANDED,https://forprint.net.ua/catalog/bloknoti-schodenniki-zoshiti/,200,Блокноти Щоденники Зошити — каталог | ForPrint — Прінт студія повного циклу,Блокноти Щоденники Зошити,1,1,catalog,candidate-ready-for-manual-review,"HTTP 200, form and price signals present"
08-notebooks-planners,AG-01-NOTEBOOKS-BRANDED,https://forprint.net.ua/product/bloknot-na-skobah/,200,Блокнот на скобах — замовити у ForPrint — Прінт студія повного циклу,Блокнот на скобах,1,1,product,candidate-ready-for-manual-review,"HTTP 200, form and price signals present"
08-notebooks-planners,AG-01-NOTEBOOKS-BRANDED,https://forprint.net.ua/product/brendovan-bloknoti/,200,Брендовані блокноти з твердою обкладинкою — замовити у ForPrint — Прінт студія повного циклу,Брендовані блокноти з твердою обкладинкою,1,1,product,candidate-ready-for-manual-review,"HTTP 200, form and price signals present"
08-notebooks-planners,AG-01-NOTEBOOKS-BRANDED,https://forprint.net.ua/product/eko-bloknoti/,200,Еко-блокноти — замовити у ForPrint — Прінт студія повного циклу,Еко-блокноти,1,1,product,candidate-ready-for-manual-review,"HTTP 200, form and price signals present"
08-notebooks-planners,AG-01-NOTEBOOKS-BRANDED,https://forprint.net.ua/product/kleniy-bloknot/,200,Клеєний блокнот — замовити у ForPrint — Прінт студія повного циклу,Клеєний блокнот,1,1,product,candidate-ready-for-manual-review,"HTTP 200, form and price signals present"
08-notebooks-planners,AG-01-NOTEBOOKS-BRANDED,https://forprint.net.ua/product/kltseviy-bloknot/,200,Кільцевий блокнот — замовити у ForPrint — Прінт студія повного циклу,Кільцевий блокнот,1,1,product,candidate-ready-for-manual-review,"HTTP 200, form and price signals present"
08-notebooks-planners,AG-01-NOTEBOOKS-BRANDED,https://forprint.net.ua/product/kreativn-bloknoti/,200,Блокноти з тисненням — замовити у ForPrint — Прінт студія повного циклу,Блокноти з тисненням,1,1,product,candidate-ready-for-manual-review,"HTTP 200, form and price signals present"
08-notebooks-planners,AG-01-NOTEBOOKS-BRANDED,https://forprint.net.ua/product/kulnarn-bloknoti/,200,Кулінарні блокноти — замовити у ForPrint — Прінт студія повного циклу,Кулінарні блокноти,1,1,product,candidate-ready-for-manual-review,"HTTP 200, form and price signals present"
08-notebooks-planners,AG-02-PLANNERS-DIARIES,https://forprint.net.ua/catalog/bloknoti-schodenniki-zoshiti/,200,Блокноти Щоденники Зошити — каталог | ForPrint — Прінт студія повного циклу,Блокноти Щоденники Зошити,1,1,catalog,candidate-ready-for-manual-review,"HTTP 200, form and price signals present"
08-notebooks-planners,AG-02-PLANNERS-DIARIES,https://forprint.net.ua/product/schodenniki-planeri/,200,Щоденники / планери — замовити у ForPrint — Прінт студія повного циклу,Щоденники / планери,1,1,product,candidate-ready-for-manual-review,"HTTP 200, form and price signals present"
08-notebooks-planners,AG-03-NOTEBOOKS-SPRING,https://forprint.net.ua/product/bagatostornkove-menyu-na-pruzhin/,200,Багатосторінкове меню на пружині — замовити у ForPrint — Прінт студія повного циклу,Багатосторінкове меню на пружині,1,1,product,candidate-ready-for-manual-review,"HTTP 200, form and price signals present"
08-notebooks-planners,AG-03-NOTEBOOKS-SPRING,https://forprint.net.ua/product/bloknot-na-pruzhin/,200,Блокнот на пружині — замовити у ForPrint — Прінт студія повного циклу,Блокнот на пружині,1,1,product,candidate-ready-for-manual-review,"HTTP 200, form and price signals present"
